"owner_id","treat7","treat8","rand_id","holdout","azavea_section","ever_paid_jul","ever_paid_sep","ever_paid_dec","ever_paid_jul16","paid_full_jul","paid_full_sep","paid_full_dec","paid_full_jul16","total_paid_sep","total_paid_dec","earliest_pmt_dec","earliest_pmt_jul16","total_due","assessed_mv","tenure","x_lon","y_lat","kde","flag_holdout_overlap","N","unq_own"
14067,"Reminder","Reminder",1056,0,"Center City",0,0,1,1,0,0,1,1,0,399.79,2015-10-23,2016-03-31T00:00:00Z,378.08,27000,8,-75.1455563259,39.9531615893,1.15647583679643e-05,0,1,1
6677,"Reminder","Reminder",29,0,"Northeast Philadelphia",1,1,1,1,1,1,1,1,8806.48,8806.48,2015-07-02,2016-05-27T00:00:00Z,8681.86,620000,10,-75.0127796813,40.1266459166,1.78503447333081e-06,0,1,1
19597,"Reminder","Reminder",115,0,"Northeast Philadelphia",1,1,1,1,0,0,1,1,2600,3641.02,2015-07-08,2016-04-06T00:00:00Z,3535.76,252500,2,-75.0104479974,40.1329425706,1.69675160156427e-06,0,1,1
8396,"Reminder","Reminder",904,0,"Northwest Philadelphia",0,1,1,0,0,1,1,0,620.76,620.76,2015-09-23,,595.13,42500,2,-75.1675188753,39.96994536,1.33297890106735e-05,0,1,1
9444,"Reminder","Reminder",1331,0,"Center City",0,1,1,1,0,1,1,1,22.75,22.75,2015-09-18,2016-04-06T00:00:00Z,22.75,113200,8,-75.1749809703,39.9412917978,2.26456078450534e-05,0,1,1
4731,"Reminder","Reminder",4,0,"North Philadelphia",0,0,0,0,0,0,0,0,0,0,,,29489.47,2617100,1,-75.1333389555,40.0151165163,2.39195168467986e-05,0,2,0
2437,"Reminder","Reminder",176,0,"North Philadelphia",1,1,1,1,1,1,1,1,2688.58,2688.58,2015-06-22,2016-05-11T00:00:00Z,2688.58,192000,2,-75.1246437924,39.9853650643,2.09843109852637e-05,0,1,1
18717,"Reminder","Reminder",231,0,"South Philadelphia",0,0,1,0,0,0,1,0,0,2398.3,2015-10-13,,2299.29,164200,1,-75.1708179304,39.9364676322,2.86215879624648e-05,0,1,1
8626,"Reminder","Reminder",47,0,"West Philadelphia",1,1,1,0,1,1,1,0,6405.25,6405.25,2015-06-10,,6359.5,663400,1,-75.2287526974,39.9219511115,1.82898211012051e-05,0,1,1
20250,"Reminder","Reminder",1155,0,"Northeast Philadelphia",0,0,0,0,0,0,0,0,0,0,,,238.05,17000,12,-75.0057729623,40.0552653207,2.54025525279475e-06,0,1,1
