opa_no,principal,interest,penalty,other_due,total_due,accurate_date
882966010,"$4,293.36",$257.60,$0.00,$0.00,"$4,550.96",07/02/2015
888010158,"$1,356.08",$81.36,$0.00,$0.00,"$1,437.44",07/02/2015
871246900,"$2,894.40",$173.66,$0.00,$0.00,"$3,068.06",07/02/2015
881006694,"$13,071.70",$784.30,$0.00,$0.00,"$13,856.00",07/02/2015
871069500,$430.76,$25.85,$0.00,$0.00,$456.61,07/02/2015
292144300,$428.80,$25.73,$0.00,$0.00,$454.53,07/02/2015
361108400,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
363148400,$10.41,$16.09,$0.00,$0.00,$26.50,07/02/2015
152093900,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
222014300,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
021365900,"$4,939.24",$296.35,$0.00,$0.00,"$5,235.59",07/02/2015
292147400,$277.00,($4.06),$20.68,$0.00,$293.62,07/02/2015
323112200,$161.60,$9.70,$0.00,$0.00,$171.30,07/02/2015
071543200,$611.92,$36.72,$0.00,$0.00,$648.64,07/02/2015
881145040,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
881145042,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
882803100,"$8,562.60",$513.76,$0.00,$0.00,"$9,076.36",07/02/2015
882426150,"$7,924.76",$475.49,$0.00,$0.00,"$8,400.25",07/02/2015
342005000,"$1,737.98",$104.28,$0.00,$0.00,"$1,842.26",07/02/2015
034012300,"$1,011.70",$24.06,$36.65,($0.01),"$1,072.40",07/02/2015
406309400,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
073158503,$781.94,$46.92,$0.00,$0.00,$828.86,07/02/2015
871548280,"$1,972.48",$118.35,$0.00,$0.00,"$2,090.83",07/02/2015
081040200,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
322123600,($0.20),$0.00,$0.00,$0.00,($0.20),07/02/2015
131074400,$616.40,$36.98,$0.00,$0.00,$653.38,07/02/2015
492182500,$0.00,$20.28,$0.00,$0.00,$20.28,07/02/2015
662120800,$0.00,($23.93),$23.93,$0.00,$0.00,07/02/2015
561516000,"$2,285.50",$137.13,$0.00,$0.00,"$2,422.63",07/02/2015
881146820,$342.73,$20.56,$0.00,$0.00,$363.29,07/02/2015
312172900,"$1,427.10",$85.63,$0.00,$0.00,"$1,512.73",07/02/2015
251200900,"$1,164.46",$69.87,$0.00,$0.00,"$1,234.33",07/02/2015
251346100,"$1,541.00",$92.46,$0.00,$0.00,"$1,633.46",07/02/2015
571254700,"$1,941.66",$116.50,$0.00,$0.00,"$2,058.16",07/02/2015
172236800,$426.70,$45.67,$0.00,$0.00,$472.37,07/02/2015
471114400,"$1,504.82",$90.29,$0.00,$0.00,"$1,595.11",07/02/2015
031020800,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
342237900,$672.68,$40.36,$0.00,$0.00,$713.04,07/02/2015
282170700,$241.20,$14.47,$0.00,$0.00,$255.67,07/02/2015
322146000,$290.78,$16.54,$0.91,$0.00,$308.23,07/02/2015
281412700,$242.54,$14.55,$0.00,$0.00,$257.09,07/02/2015
383096200,"$2,599.60",$155.98,$0.00,$0.00,"$2,755.58",07/02/2015
123120700,$368.30,$22.10,$0.00,$0.00,$390.40,07/02/2015
353273700,$604.34,$36.26,$0.00,$0.00,$640.60,07/02/2015
871567780,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
541297400,"$1,644.18",$98.65,$0.00,$0.00,"$1,742.83",07/02/2015
552079700,"$1,486.06",$89.16,$0.00,$0.00,"$1,575.22",07/02/2015
511139000,$409.60,$24.58,$0.00,$0.00,$434.18,07/02/2015
391093100,"$1,660.26",$99.62,$0.00,$0.00,"$1,759.88",07/02/2015
