,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Median Balance (among Delinquents),1762.03,1640.53,1894.52,1949.58,1940.72,1715.18,1888.12,1883.64,1795.08,1696.88,1767.01,1741.38,1894.92,1746.97,1652.22,1851.07,1664.2,1831.68,1796.68,1923.43,1893.02,1785.87,1837.71,1741.3,1774.38,1716.68,1962.82,1763.45,1867.17,1812.85,1918.63,1646.99,1851.57,1828.66,1898.19,1900.02,2079.34,1762.41,1908.48,1620.29,1693.12,1670.53,1790.29,2020.72,1858.38,1589.57,1875.35,1809.07,2093.08,1875.95,,1762.03,1640.53,1894.52,1949.58,1940.72,1715.18,1888.12,1883.64,1795.08,1696.88,1767.01,1741.38,1894.92,1746.97,1652.22,1851.07,1664.2,1831.68,1796.68,1923.43,1893.02,1785.87,1837.71,1741.3,1774.38,1716.68,1962.82,1763.45,1867.17,1812.85,1918.63,1646.99,1851.57,1828.66,1898.19,1900.02,2079.34,1762.41,1908.48,1620.29,1693.12,1670.53,1790.29,2020.72,1858.38,1589.57,1875.35,1809.07,2093.08,1875.95,,-0.49,-1.56,0.68,1.16,1.08,-0.9,0.62,0.58,-0.2,-1.06,-0.45,-0.67,0.68,-0.62,-1.46,0.29,-1.35,0.12,-0.18,0.93,0.66,-0.28,0.18,-0.67,-0.38,-0.89,1.28,-0.48,0.44,-0.04,0.89,-1.5,0.3,0.1,0.71,0.73,2.31,-0.49,0.8,-1.74,-1.1,-1.3,-0.24,1.79,0.36,-2.01,0.51,-0.08,2.43,0.51
Median Market Value,119900,120000,119150,119700,118950,118700,119800,118200,120300,118200,119900,119350,118300,119700,118700,121400,120400,119200,119800,119600,119250,118950,120000,118700,119900,120600,119650,120000,120800,120000,121150,119700,118800,118300,121500,119800,118700,119700,120900,120600,119800,120500,118700,119300,121900,121250,121400,122300,118200,119500,,119900,120000,119150,119700,118950,118700,119800,118200,120300,118200,119900,119350,118300,119700,118700,121400,120400,119200,119800,119600,119250,118950,120000,118700,119900,120600,119650,120000,120800,120000,121150,119700,118800,118300,121500,119800,118700,119700,120900,120600,119800,120500,118700,119300,121900,121250,121400,122300,118200,119500,,0.12,0.22,-0.63,-0.08,-0.83,-1.07,0.02,-1.57,0.51,-1.57,0.12,-0.43,-1.47,-0.08,-1.07,1.61,0.61,-0.58,0.02,-0.18,-0.53,-0.83,0.22,-1.07,0.12,0.81,-0.13,0.22,1.01,0.22,1.36,-0.08,-0.97,-1.47,1.7,0.02,-1.07,-0.08,1.11,0.81,0.02,0.71,-1.07,-0.48,2.1,1.46,1.61,2.5,-1.57,-0.28
EXEMPT CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6630,6562,6698,6588,6618,6711,6723,6616,6679,6622,6565,6584,6595,6639,6576,6592,6687,6646,6736,6615,6640,6588,6708,6598,6574,6687,6672,6567,6594,6557,6542,6543,6592,6694,6609,6605,6682,6673,6627,6677,6670,6620,6640,6548,6659,6584,6674,6636,6575,6555,,1,0.99,1.01,0.98,0.99,1,1.02,1,1.02,1,0.99,1,0.99,0.99,0.99,0.99,1.02,1.01,1.03,1,1,1,1.01,0.98,0.99,1,1.02,1,1.01,0.99,0.99,0.99,0.99,1,0.99,0.99,1.02,1.01,1.01,1.01,1.01,1,1,0.98,1,0.98,1.02,1.01,1.01,0.99,,-0.04,-0.58,0.68,-1.55,-0.68,0.25,1.94,0.36,1.69,0.33,-0.85,-0.3,-0.6,-0.93,-1.2,-1.21,1.49,0.74,2.41,0.25,0.08,-0.25,0.8,-1.43,-1.23,-0.04,1.3,-0.25,0.61,-0.48,-1.14,-0.82,-0.64,-0.25,-0.8,-1.05,1.43,1.07,1.03,1.02,0.46,0.15,-0.04,-2.05,-0.18,-1.31,1.33,0.61,0.37,-0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
